"","Median","LCI","UCI"
"K",31.375561,19.235746,56.048224
"r",0.108155,0.068939,0.167206
"q.1",4.79972,2.715476,8.041275
"sigma.proc",0.789,0.559,1.153
"psi",0.508251,0.360957,0.702631
"sigma2",0.021193,0.011456,0.038057
"tau2.1",0.077446,0.052455,0.123254
"tau2.2",0.171856,0.085796,0.399349
"m",2,2,2
"Hmsy",0.054,0.034,0.084
"SBmsy",15.688,9.618,28.024
"MSY",0.852,0.509,1.489
"P1948",0.497,0.35,0.703
"P2018",0.588,0.278,0.959
"B_Bmsy.cur",1.175,0.556,1.917
"H_Hmsy.cur",0.494,0.219,1.289
