"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CPUE_1",0.151348155885718,-0.236127718834229,-0.319805482259952,-0.0659527065348628,0.123944295287397,-0.0105758117132533,0.00702007605950872,0.417498786867575,-0.0587070039395226,0.195825768453274,-0.282362438670386,-0.424860858569875,0.0609309329321013,0.0675917123242593,0.403753954388482,0.07650983735018,0.00571474866765165,0.0734997074435428,0.101641719188731,0.0394308238550973,0.0122576707657673,0.021059534166997,-0.072040113564376,-0.107625386444632,0.0637427119564089,-0.0472400118591558,0.0616454648639611,0.0540518112346922,-0.273318199805487,-0.247145412729968,0.143042913942542,0.17702065369927,-0.0162981227881094,-0.00411881702310701,-0.0983955353264108,-0.0718558349708278,-0.243877309670474,-0.0713746599716343,-0.0570647509199294,0.141945301779275,0.100112087576252,0.0251858214952803,-0.0188434704348088,-0.0351602664628912,0.022730570468017,-0.0618044471562804,0.0363685235997391,0.028066198626262,-0.019335978446029,-0.00837986641122779,-0.00438176566167048,-0.0174543203594428,0.0688473065126303,0.0692827407264938,0.0287811412521899,-0.0573816842943478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPUE_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0376957949323056,-0.0716215955999129,0.0219651083426271,-0.0274517403551027,-0.0381846691130248,0.054518853748224,-0.00921239396245976,-0.0998127525782109,0.00319897324356377,-0.133406866193966,-0.178192821668929,-0.025653709143203,0.154742323879795,0.193170799649781,-0.000606453737086454,0.0281522214434888
"CPUE_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.61624643184059,7.46286468374093,6.99630558550703
