Estimate Status,Year,Common Name,Fishing Mode,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2008,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"12,150",53.8,"3,321",66.1,"1,506",66.1,"10,181",0%,0%,0%
FINAL,2009,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"13,575",39.4,"21,694",55.2,"9,840",55.2,"5,671",0%,0%,0%
FINAL,2010,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"49,693",56.7,"21,902",61.3,"9,935",61.3,"42,354",0%,0%,0%
FINAL,2011,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"7,021",38.9,"37,336",15.4,"16,936",15.4,392,0%,0%,0%
FINAL,2012,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"22,016",26.8,"46,172",34.8,"20,943",34.8,"10,817",0%,0%,0%
FINAL,2013,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"30,148",22.6,"58,123",25.9,"26,364",25.9,"4,838",0%,0%,0%
FINAL,2014,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"32,939",35.9,"69,782",16.4,"31,653",16.4,"3,662",0%,0%,0%
FINAL,2015,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"9,178",37,"5,955",50.7,"2,701",50.7,"7,381",0%,0%,0%
FINAL,2016,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"8,829",45.2,"13,910",6.7,"6,310",6.7,"4,000",0%,0%,0%
FINAL,2017,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"3,869",44.5,"6,264",.,"2,841",.,"2,389",0%,0%,0%
FINAL,2018,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"10,921",55.2,"10,465",.,"4,747",.,"7,449",0%,0%,0%
FINAL,2019,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"30,043",39.6,"31,304",26.3,"14,199",26.3,"10,360",0%,0%,0%
FINAL,2020,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"12,902",69.1,"4,952",57.4,"2,246",57.4,"10,806",16%,0%,0%
PRELIMINARY,2021,RUBY SNAPPER,PRIVATE/RENTAL BOAT,"10,856",42.6,"3,947",11.9,"1,790",11.9,"4,711",0%,0%,0%
FINAL,2003,PINK SNAPPER,PRIVATE/RENTAL BOAT,"25,380",34.5,"104,143",45.5,"47,239",45.5,"4,900",0%,0%,0%
FINAL,2004,PINK SNAPPER,PRIVATE/RENTAL BOAT,"83,909",41.5,"480,311",42.8,"217,867",42.8,"5,298",0%,0%,0%
FINAL,2005,PINK SNAPPER,PRIVATE/RENTAL BOAT,"24,247",34.8,"106,889",36.6,"48,485",36.6,"5,646",0%,0%,0%
FINAL,2006,PINK SNAPPER,PRIVATE/RENTAL BOAT,"27,653",50.2,"48,269",32.4,"21,895",32.4,"15,349",0%,0%,0%
FINAL,2007,PINK SNAPPER,PRIVATE/RENTAL BOAT,"16,845",39.4,"84,674",21.2,"38,408",21.2,"2,871",0%,0%,0%
FINAL,2008,PINK SNAPPER,PRIVATE/RENTAL BOAT,"42,544",35.3,"184,209",22.2,"83,557",22.2,"8,140",0%,0%,0%
FINAL,2009,PINK SNAPPER,SHORE,"4,270",100,0,.,0,.,"4,270",0%,0%,0%
FINAL,2009,PINK SNAPPER,PRIVATE/RENTAL BOAT,"30,194",28.5,"100,900",.,"45,768",.,"23,484",0%,0%,0%
FINAL,2010,PINK SNAPPER,PRIVATE/RENTAL BOAT,"115,003",30.1,"419,865",33.7,"190,450",33.7,0,0%,0%,0%
FINAL,2011,PINK SNAPPER,PRIVATE/RENTAL BOAT,"25,380",35.5,"88,165",39.7,"39,991",39.7,"6,307",0%,0%,0%
FINAL,2012,PINK SNAPPER,PRIVATE/RENTAL BOAT,"46,702",27.8,"277,166",28.7,"125,722",28.7,173,0%,0%,0%
FINAL,2013,PINK SNAPPER,PRIVATE/RENTAL BOAT,"45,120",24.7,"159,103",19.9,"72,168",19.9,"5,957",0%,0%,0%
FINAL,2014,PINK SNAPPER,PRIVATE/RENTAL BOAT,"41,332",31.6,"126,326",46.9,"57,301",46.9,"14,073",0%,0%,0%
FINAL,2015,PINK SNAPPER,PRIVATE/RENTAL BOAT,"22,924",32.8,"29,974",27.3,"13,596",27.3,"13,166",0%,0%,0%
FINAL,2016,PINK SNAPPER,PRIVATE/RENTAL BOAT,"17,082",38.9,"26,768",18.5,"12,142",18.5,"10,718",0%,0%,0%
FINAL,2017,PINK SNAPPER,PRIVATE/RENTAL BOAT,"9,739",37.9,"45,821",50.5,"20,784",50.5,"2,518",0%,0%,0%
FINAL,2018,PINK SNAPPER,PRIVATE/RENTAL BOAT,"56,140",32.6,"264,628",23.4,"120,035",23.4,"8,037",0%,0%,0%
FINAL,2019,PINK SNAPPER,PRIVATE/RENTAL BOAT,"62,815",61.8,"170,069",69.4,"77,143",69.4,"7,495",0%,0%,0%
