"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CPUE_1",0.162799069321458,-0.230203588357177,-0.309844906751155,-0.0539471514005507,0.127865746020012,-0.0134916559512845,0.00303621150130429,0.412934560527979,-0.0639871894417601,0.196560665294421,-0.27789192452183,-0.424862105109528,0.0664688359291059,0.0689835002876489,0.404473833103259,0.0736935763814834,0.00348859637751175,0.066810405876371,0.0914426976599003,0.0320837548073856,0.00435145647389579,0.0205560628663486,-0.0740293436839945,-0.105267407773685,0.0566436283340943,-0.0577712963037591,0.0559493140166891,0.0586812486094583,-0.273940316728911,-0.248461026839842,0.143691327804465,0.175650020587898,-0.0116241131992503,-0.00244429195668427,-0.0949183945519767,-0.0675999618309948,-0.24053484341236,-0.0739832709171013,-0.0555940874951872,0.144515543730106,0.104489718092364,0.0377873940561866,-0.00404326536764543,-0.0251058189826336,0.0319281180955313,-0.0557957186361087,0.0362658249515064,0.0225975243687664,-0.0177774453176625,-0.00338893338487178,-0.00253266344089553,-0.0223508039120199,0.0555433595196142,0.0629716086585965,0.0111456642408694,-0.0893480686509864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPUE_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000713542058673244,-0.0501420742788117,0.032261729116577,-0.0334371016507,-0.0374623458832302,0.05878363953956,-0.0158247993156149,-0.109974361311833,0.00402733586977089,-0.135459241755851,-0.177443558291939,-0.0269835467899835,0.159130708006018,0.193045374938605,-0.00418431882835923,0.0399288969443341
