"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CPUE_1",0.12751105149085,-0.25246271341542,-0.31406534207686,-0.0593434978656475,0.135941153253833,-0.0139267874987681,0.00017865082113655,0.41187024023386,-0.0598839691565329,0.193112837832845,-0.277076753671492,-0.42028845365028,0.0616493221231362,0.0650149883438065,0.389307472598452,0.0621362968739314,-0.0117424615220934,0.0601935936890898,0.0911329156060416,0.0258040485521782,0.00268628570379903,0.0203623984149193,-0.0692122444655352,-0.10371811810202,0.0664573952947372,-0.0491498804428296,0.0618104879434807,0.0594067151889162,-0.269038138804849,-0.247511017670154,0.144318326126796,0.18343830553041,-0.0113691928192736,0.00197911889134428,-0.0992992878198828,-0.0766418948994971,-0.25241244015446,-0.0850131739254829,-0.0649772965083928,0.127303766449905,0.0971318913163399,0.026636199752951,-0.0154118069301781,-0.0262264554504306,0.035928754251306,-0.0614569852735523,0.0345617290481206,0.0268551568260378,-0.0113327051133538,-0.00519941777993793,0.00355442617944224,-0.00533609245812983,0.077300743301155,0.0991435356073227,0.0651051245779506,0.00737655771961077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPUE_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13508388572335,-0.145131176304395,-0.0293163834023544,-0.0677997982124547,-0.0648142335624384,0.0349941276482926,-0.0274338418455291,-0.107031964676133,0.00610702215208958,-0.126245804971428,-0.168286810648109,-0.00409567746147976,0.193167052211731,0.263258654128066,0.0754298499043542,0.113682823901716
"CPUE_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60276861995594,2.44765950758596,1.98714130160542
